unitSerialNumber;military_agency;unitName;unitUniqueName;unitBaseVehicle;unitICE;implementDriveMotor;unitFuelConsumption;vehicleFuelConsumption;specialEquipmentFuelConsumption
1;РХБЗ;Тепловая машина специальной обработки;ТМС-65У;Урал-4320-31;ЯМЗ-238;Авиационный турборекактивный двигатель М 701с-500;n61uc0;n61vc0;n61ec0
2;РХБЗ;Тепловая машина специальной обработки;ТМС-65У;Урал-4320-31;ЯМЗ-238;Привод от коробки отбора мощности;n61uc1;n61vc1;n61ec1
3;РХБЗ;Универсальная тепловая машина;УТМ-85М;КамАЗ-63501;КамАЗ-7403.10;Посейдон 150-200-15;n61uc2;n61vc2;n61ec2
4;РХБЗ;Универсальная тепловая машина;УТМ-85М;КамАЗ-63501;КамАЗ-7403.10;5-П-27.5-ВМ1;n61uc3;n61vc3;n61ec3
5;РХБЗ;Универсальная тепловая машина;УТМ-85М;КамАЗ-63501;КамАЗ-7403.10;Вепрь;n61uc4;n61vc4;n61ec4
6;РХБЗ;Авторазливочная станция;АРС-15;Урал-375;-;ЗиЛ-375;n61uc5;n61vc5;n61ec5
7;РХБЗ;Авторазливочная станция;АРС-15;Урал-375;-;подогреватель ЛО-36.02.02.000;n61uc6;n61vc6;n61ec6
8;РХБЗ;Авторазливочная станция;АРС-14К;КамАЗ-4310;-;ЯМЗ-747;n61uc7;n61vc7;n61ec7
9;РХБЗ;Авторазливочная станция;АРС-14;ЗиЛ-131;-;ЗиЛ-131;n61uc8;n61vc8;n61ec8
10;РХБЗ;Авторазливочная станция;АРС-14КМ;КамАЗ-43114;КамАЗ-740.260;Подогрев раствора;n61uc9;n61vc9;n61ec9
11;РХБЗ;Авторазливочная станция;АРС-14КМ;КамАЗ-43114;КамАЗ-740.260;Вал отбора мощности;n61uc10;n61vc10;n61ec10
12;РХБЗ;Авторазливочная станция;АРС-14КМ;КамАЗ-43114;КамАЗ-7403.10;Нагрев воды;n61uc11;n61vc11;n61ec11
13;РХБЗ;Авторазливочная станция;АРС-14КМ;КамАЗ-43114;КамАЗ-7403.10;Работа дымогенератора;n61uc12;n61vc12;n61ec12
14;РХБЗ;Авторазливочная станция;АРС-14КМ;КамАЗ-43114;КамАЗ-7403.10;Работа водяного насоса;n61uc13;n61vc13;n61ec13
15;РХБЗ;Авторазливочная станция;АРС-14У;Урал-43206;-;ЯМЗ-238-М2-43;n61uc14;n61vc14;n61ec14
16;РХБЗ;Дымовая машина;ТДА-2М;Урал-4320;-;ЯМЗ-747;n61uc15;n61vc15;n61ec15
17;РХБЗ;Дымовая машина;ТДА-2М;Урал-4320;-;Камера сгорания;n61uc16;n61vc16;n61ec16
